Key,en,ko,reviewed
MainMenu.TabHeaderLable.Editor,Editor,편집기,True
MainMenu.Editor.CharacterPopup.DeleteCharacterPrompt,"Are you sure you want to delete character ""{0}""? This action cannot be undone.","""{0}"" 캐릭터를 삭제하시겠습니까? 이 작업은 되돌릴 수 없습니다.",True
MainMenu.Editor.CharacterPopup.OverwriteCharacterPrompt,"Character ""{0}"" already exist. Are you sure you want to overwrite character ""{0}""? This action cannot be undone.",">캐릭터 ""{0}""이(가) 이미 존재합니다. ""{0}"" 캐릭터를 덮어쓰시겠습니까? 이 작업은 되돌릴 수 없습니다.",True
MainMenu.Confirm,Confirm,확인,True
MainMenu.Cancel,Cancel,취소,True
MainMenu.Editor.CharacterPopup.SaveCharacterPrompt,Please enter a character name:,캐릭터 이름을 입력해주세요:,True
MainMenu.Editor.Model,Models,모델,True
MainMenu.Editor.Character,Character,캐릭터,True
MainMenu.Editor.Animation,Animation,애니메이션,True
MainMenu.Editor.PartsSelection,Choose Parts,파츠 선택,True
MainMenu.Editor.PartsAdjustment,Adjustment,세부 조정,True
MainMenu.Search,Search...,>검색...,True
MainMenu.Editor.SaveCharacter,Save Character,캐릭터 저장,True
MainMenu.Editor.Unload,Clear Character,캐릭터 초기화,True
MainMenu.Editor.DeleteCharacter,Delete Character,캐릭터 삭제,True
MainMenu.Editor.UseCustomTextures,Use Custom Textures,사용자 정의 텍스처 사용,True
MainMenu.Editor.ReloadTextures,Reload Textures,텍스처 다시 불러오기,True
MainMenu.Editor.OpenCustomTextureFolder,Open Custom Texture Folder,사용자 정의 텍스처 폴더 열기,True
MainMenu.Editor.Color,Color,색상,True
MainMenu.Editor.TintColor,TintColor,바탕 색상,True
MainMenu.Editor.TintBlackColor,TintBlackColor,선화 색상,True
MainMenu.Editor.LICENSE,LICENSE,라이선스,True
MainMenu.Editor.AssetTypeAA,Default Assets,기본 에셋,True
MainMenu.Editor.AssetTypeSA,Third-Party Assets,외부 에셋,True
MainMenu.Editor.CharacterPopup.CharacterNameEmpty,Name cannot be empty.,이름은 비워둘 수 없습니다.,True
MainMenu.Editor.CharacterPopup.CharacterNameLength,Name cannot exceed {0} characters.,이름은 {0}자를 초과할 수 없습니다.,True
MainMenu.Editor.CharacterPopup.CharacterNameInvalidCharacter,"Name cannot contain the character ""{0}"".","이름에는 ""{0}"" 문자를 포함할 수 없습니다.",True
MainMenu.Editor.CharacterPopup.CharacterNameReserved,"""{0}"" is a reserved name and cannot be used.","""{0}""은(는) 사용 중인 이름이므로 사용할 수 없습니다.",True
MainMenu.Editor.CharacterPopup.CharacterNameEndWithDot,Name cannot end with a dot.,이름은 마침표(.)로 끝날 수 없습니다.,True
MainMenu.Editor.CharacterPopup.CharacterNameOnlySpaces,Name cannot contain only spaces.,이름을 공백으로만 설정할 수 없습니다.,True
MainMenu.Editor.UnloadCurrentModel,Unload Current Model,현재 모델 닫기,True
MainMenu.Settings.GeneralSettings,General Settings,일반 설정,True
MainMenu.Settings.GeneralSettings.Language,Language,언어,True
MainMenu.Settings.ViewportSettings,Viewport Settings,작업 화면 설정,True
MainMenu.Settings.ViewportSettings.ViewportZoomSpeed,Zoom Speed,확대/축소 속도,True
MainMenu.Settings.ViewportSettings.ViewportRotationSpeed,Rotation Speed,회전 속도,True
MainMenu.Settings.ViewportSettings.ModelScale,Model Scale,모델 크기,True
MainMenu.Settings.ViewportSettings.ModelOffsetHorizontal,Offset Horizontal,수평 오프셋,True
MainMenu.Settings.ViewportSettings.ModelOffsetVertical,Offset Vertical,수직 오프셋,True
MainMenu.Settings.ViewportSettings.ResetViewportSettings,Reset Viewport Settings,작업 화면 설정 초기화,True
MainMenu.Settings.ExportSettings,Animation Export Settings,애니메이션 저장 설정,True
MainMenu.Settings.ExportSettings.SaveLocation,Save Location,저장 경로,True
MainMenu.Settings.ExportSettings.ExportPresets,Export Presets,프리셋 내보내기,True
MainMenu.Settings.ExportSettings.Encoder,Encoder,인코더,True
MainMenu.Settings.ExportSettings.Width,Width,너비,True
MainMenu.Settings.ExportSettings.Height,Height,높이,True
MainMenu.Settings.ExportSettings.FPS,FPS,FPS,True
MainMenu.Settings.ExportSettings.LimitMaxFrameCount,Limit Max. Frame Count,최대 프레임 수 제한,True
MainMenu.Settings.ExportSettings.MaxFrameCount,Max. Frame Count,최대 프레임 수,True
MainMenu.Settings.ExportSettings.AlphaThreshold,Alpha Threshold,투명도 임계값,True
MainMenu.Settings.ExportSettings.EnableDithering,Enable Dithering,디더링 활성화,True
MainMenu.Settings.ExportSettings.ResetExportSettings,Reset Export Settings,저장 설정 초기화,True
MainMenu.Editor.Export,Export Emote,이모트 내보내기,True
LicensePopup.ThirdPartyLicense.Notice,License provided by the model creator. Displayed for reference only and does not represent the EmoteLab developer’s views or legal position. ,모델 제작자가 제공하는 라이선스입니다. 참고용으로만 표시되며 EmoteLab 개발자의 견해나 법적 입장을 나타내지 않습니다.,True
